model,mae,rmse
"ARIMA(1, 0, 2)",0.18545974564684933,0.2562692069892408
"ARIMA(1, 0, 1)",0.18885416424879897,0.2588257372839175
"ARIMA(2, 0, 1)",0.19075433951012757,0.2658514851957496
"ARIMA(1, 1, 1)",0.19331604970149643,0.26719396976489185
"ARIMA(2, 1, 1)",0.19469178950442415,0.26758112705219145
"ARIMA(2, 0, 2)",0.196163888386328,0.26808244720535923
"ARIMA(1, 1, 2)",0.19767235743793876,0.2709655396677156
"ARIMA(1, 0, 0)",0.21809762349747608,0.2828436394185656
Naive baseline,0.21999658186641902,0.2843579333301109
"ARIMA(0, 0, 1)",0.3922216597495332,0.4295328178098153
